name,rep,s,Ua,distance,fstOutliers
c1e-4/run18.s0.0006.Ua10.0.d300.csv,18,0.0006,10.0,300,9
c1e-4/run7.s0.0002.Ua1.0.d100.csv,7,0.0002,1.0,100,0
c1e-4/run27.s0.006.Ua0.1.d100.csv,27,0.006,0.1,100,1
c1e-4/run13.s0.0002.Ua0.1.d400.csv,13,0.0002,0.1,400,0
c1e-4/run1.s0.002.Ua0.1.d400.csv,1,0.002,0.1,400,1
c1e-4/run24.s0.0002.Ua0.1.d400.csv,24,0.0002,0.1,400,0
c1e-4/run11.s0.002.Ua0.1.d400.csv,11,0.002,0.1,400,1
c1e-4/run25.s0.006.Ua10.0.d200.csv,25,0.006,10.0,200,80
c1e-4/run8.s0.0006.Ua1.0.d400.csv,8,0.0006,1.0,400,2
c1e-4/run18.s0.0006.Ua1.0.d300.csv,18,0.0006,1.0,300,0
c1e-4/run4.s0.0006.Ua0.1.d300.csv,4,0.0006,0.1,300,0
c1e-4/run8.s0.0006.Ua0.1.d200.csv,8,0.0006,0.1,200,0
c1e-4/run16.s0.0002.Ua1.0.d200.csv,16,0.0002,1.0,200,0
c1e-4/run10.s0.0006.Ua0.1.d200.csv,10,0.0006,0.1,200,0
c1e-4/run20.s0.002.Ua10.0.d300.csv,20,0.002,10.0,300,52
c1e-4/run19.s0.0006.Ua10.0.d300.csv,19,0.0006,10.0,300,8
c1e-4/run5.s0.0006.Ua1.0.d400.csv,5,0.0006,1.0,400,0
c1e-4/run25.s0.0006.Ua1.0.d100.csv,25,0.0006,1.0,100,0
c1e-4/run6.s0.0006.Ua0.1.d400.csv,6,0.0006,0.1,400,1
c1e-4/run1.s0.0002.Ua1.0.d400.csv,1,0.0002,1.0,400,0
c1e-4/run6.s0.0006.Ua10.0.d100.csv,6,0.0006,10.0,100,0
c1e-4/run26.s0.006.Ua10.0.d400.csv,26,0.006,10.0,400,170
c1e-4/run6.s0.0006.Ua0.1.d300.csv,6,0.0006,0.1,300,0
c1e-4/run28.s0.0002.Ua1.0.d400.csv,28,0.0002,1.0,400,0
c1e-4/run8.s0.0006.Ua1.0.d200.csv,8,0.0006,1.0,200,0
c1e-4/run29.s0.006.Ua0.1.d100.csv,29,0.006,0.1,100,0
c1e-4/run17.s0.0002.Ua1.0.d100.csv,17,0.0002,1.0,100,0
c1e-4/run14.s0.0002.Ua10.0.d200.csv,14,0.0002,10.0,200,0
c1e-4/run15.s0.002.Ua0.1.d400.csv,15,0.002,0.1,400,1
c1e-4/run10.s0.006.Ua10.0.d100.csv,10,0.006,10.0,100,26
c1e-4/run28.s0.0002.Ua0.1.d400.csv,28,0.0002,0.1,400,0
c1e-4/run2.s0.006.Ua0.1.d200.csv,2,0.006,0.1,200,1
c1e-4/run12.s0.002.Ua0.1.d400.csv,12,0.002,0.1,400,0
c1e-4/run30.s0.006.Ua10.0.d400.csv,30,0.006,10.0,400,149
c1e-4/run14.s0.006.Ua10.0.d100.csv,14,0.006,10.0,100,22
c1e-4/run29.s0.0002.Ua0.1.d400.csv,29,0.0002,0.1,400,0
c1e-4/run8.s0.0006.Ua10.0.d300.csv,8,0.0006,10.0,300,10
c1e-4/run26.s0.0002.Ua1.0.d200.csv,26,0.0002,1.0,200,0
c1e-4/run4.s0.006.Ua0.1.d300.csv,4,0.006,0.1,300,1
c1e-4/run23.s0.0002.Ua0.1.d200.csv,23,0.0002,0.1,200,0
c1e-4/run2.s0.0006.Ua1.0.d400.csv,2,0.0006,1.0,400,1
c1e-4/run13.s0.006.Ua0.1.d300.csv,13,0.006,0.1,300,1
c1e-4/run7.s0.006.Ua0.1.d200.csv,7,0.006,0.1,200,1
c1e-4/run26.s0.0006.Ua0.1.d100.csv,26,0.0006,0.1,100,0
c1e-4/run19.s0.002.Ua10.0.d200.csv,19,0.002,10.0,200,28
c1e-4/run15.s0.0006.Ua10.0.d200.csv,15,0.0006,10.0,200,2
c1e-4/run26.s0.002.Ua10.0.d200.csv,26,0.002,10.0,200,26
c1e-4/run1.s0.0002.Ua0.1.d300.csv,1,0.0002,0.1,300,0
c1e-4/run22.s0.0002.Ua0.1.d400.csv,22,0.0002,0.1,400,0
c1e-4/run12.s0.0006.Ua1.0.d400.csv,12,0.0006,1.0,400,3
c1e-4/run20.s0.002.Ua1.0.d400.csv,20,0.002,1.0,400,5
c1e-4/run10.s0.002.Ua1.0.d300.csv,10,0.002,1.0,300,6
c1e-4/run26.s0.0002.Ua10.0.d100.csv,26,0.0002,10.0,100,0
c1e-4/run1.s0.0002.Ua0.1.d400.csv,1,0.0002,0.1,400,0
c1e-4/run13.s0.0006.Ua10.0.d400.csv,13,0.0006,10.0,400,8
c1e-4/run17.s0.002.Ua1.0.d300.csv,17,0.002,1.0,300,5
c1e-4/run24.s0.0006.Ua1.0.d300.csv,24,0.0006,1.0,300,0
c1e-4/run24.s0.0002.Ua10.0.d100.csv,24,0.0002,10.0,100,0
c1e-4/run23.s0.0002.Ua0.1.d100.csv,23,0.0002,0.1,100,0
c1e-4/run3.s0.006.Ua10.0.d400.csv,3,0.006,10.0,400,173
c1e-4/run18.s0.0002.Ua0.1.d200.csv,18,0.0002,0.1,200,0
c1e-4/run7.s0.0006.Ua1.0.d300.csv,7,0.0006,1.0,300,0
c1e-4/run18.s0.002.Ua10.0.d300.csv,18,0.002,10.0,300,53
c1e-4/run30.s0.006.Ua10.0.d200.csv,30,0.006,10.0,200,85
c1e-4/run25.s0.006.Ua0.1.d200.csv,25,0.006,0.1,200,1
c1e-4/run20.s0.002.Ua1.0.d300.csv,20,0.002,1.0,300,8
c1e-4/run8.s0.006.Ua1.0.d400.csv,8,0.006,1.0,400,20
c1e-4/run11.s0.002.Ua10.0.d100.csv,11,0.002,10.0,100,9
c1e-4/run18.s0.0002.Ua0.1.d400.csv,18,0.0002,0.1,400,0
c1e-4/run27.s0.0006.Ua0.1.d200.csv,27,0.0006,0.1,200,0
c1e-4/run28.s0.0006.Ua10.0.d100.csv,28,0.0006,10.0,100,0
c1e-4/run4.s0.006.Ua1.0.d400.csv,4,0.006,1.0,400,12
c1e-4/run21.s0.002.Ua10.0.d200.csv,21,0.002,10.0,200,31
c1e-4/run24.s0.0006.Ua1.0.d400.csv,24,0.0006,1.0,400,1
c1e-4/run12.s0.006.Ua10.0.d200.csv,12,0.006,10.0,200,81
c1e-4/run11.s0.0006.Ua0.1.d100.csv,11,0.0006,0.1,100,0
c1e-4/run23.s0.006.Ua1.0.d200.csv,23,0.006,1.0,200,4
c1e-4/run22.s0.002.Ua0.1.d200.csv,22,0.002,0.1,200,0
c1e-4/run7.s0.002.Ua10.0.d200.csv,7,0.002,10.0,200,26
c1e-4/run9.s0.002.Ua10.0.d300.csv,9,0.002,10.0,300,40
c1e-4/run25.s0.0006.Ua1.0.d200.csv,25,0.0006,1.0,200,0
c1e-4/run5.s0.006.Ua0.1.d400.csv,5,0.006,0.1,400,1
c1e-4/run23.s0.002.Ua1.0.d200.csv,23,0.002,1.0,200,3
c1e-4/run7.s0.0002.Ua0.1.d200.csv,7,0.0002,0.1,200,0
c1e-4/run8.s0.0002.Ua10.0.d100.csv,8,0.0002,10.0,100,0
c1e-4/run1.s0.002.Ua1.0.d100.csv,1,0.002,1.0,100,2
c1e-4/run16.s0.0002.Ua0.1.d200.csv,16,0.0002,0.1,200,0
c1e-4/run12.s0.006.Ua0.1.d100.csv,12,0.006,0.1,100,1
c1e-4/run12.s0.0006.Ua0.1.d100.csv,12,0.0006,0.1,100,0
c1e-4/run9.s0.0006.Ua1.0.d200.csv,9,0.0006,1.0,200,0
c1e-4/run28.s0.0006.Ua10.0.d300.csv,28,0.0006,10.0,300,10
c1e-4/run1.s0.006.Ua0.1.d200.csv,1,0.006,0.1,200,3
c1e-4/run15.s0.006.Ua1.0.d300.csv,15,0.006,1.0,300,11
c1e-4/run16.s0.006.Ua0.1.d100.csv,16,0.006,0.1,100,0
c1e-4/run3.s0.0002.Ua10.0.d300.csv,3,0.0002,10.0,300,0
c1e-4/run24.s0.002.Ua1.0.d100.csv,24,0.002,1.0,100,1
c1e-4/run26.s0.0002.Ua10.0.d200.csv,26,0.0002,10.0,200,0
c1e-4/run20.s0.0002.Ua1.0.d100.csv,20,0.0002,1.0,100,0
c1e-4/run13.s0.006.Ua0.1.d200.csv,13,0.006,0.1,200,1
c1e-4/run22.s0.0006.Ua1.0.d100.csv,22,0.0006,1.0,100,0
c1e-4/run28.s0.006.Ua1.0.d100.csv,28,0.006,1.0,100,2
c1e-4/run30.s0.0002.Ua1.0.d400.csv,30,0.0002,1.0,400,0
c1e-4/run12.s0.0006.Ua0.1.d200.csv,12,0.0006,0.1,200,0
c1e-4/run9.s0.002.Ua0.1.d100.csv,9,0.002,0.1,100,0
c1e-4/run30.s0.0002.Ua10.0.d100.csv,30,0.0002,10.0,100,0
c1e-4/run2.s0.0002.Ua10.0.d100.csv,2,0.0002,10.0,100,0
c1e-4/run23.s0.006.Ua0.1.d200.csv,23,0.006,0.1,200,1
c1e-4/run9.s0.006.Ua10.0.d300.csv,9,0.006,10.0,300,155
c1e-4/run13.s0.0002.Ua0.1.d100.csv,13,0.0002,0.1,100,0
c1e-4/run8.s0.006.Ua1.0.d200.csv,8,0.006,1.0,200,6
